metric,n_samples,max_tokens,runtime
when_first_token,8,15,0.027369186528960518
when_first_token,16,5,0.02745379623889071
when_first_token,16,10,0.027959261604492282
when_first_token,16,15,0.028357263925670444
when_first_token,32,5,0.027258815654848143
when_first_token,32,10,0.028546031043825353
when_first_token,32,15,0.02739735876068242
when_first_token,64,5,0.027492804394805705
when_first_token,64,10,0.02726284156824658
when_first_token,64,15,0.027756202322970176
when_first_token,128,5,0.029016090783068257
when_first_token,128,10,0.02867426234190574
when_first_token,128,15,0.029053057814476924
when_first_token,256,5,0.03464528074028064
when_first_token,256,10,0.035550978884846
when_first_token,256,15,0.03739533032535107
when_first_token,512,5,0.050024136373824475
when_first_token,512,10,0.05421686199442833
when_first_token,512,15,0.057811302786915854
when_in_sequence,4,5,0.026326324123841605
when_in_sequence,4,10,0.027875153561886457
when_in_sequence,4,15,0.027828140622580936
when_in_sequence,8,5,0.027736079995713946
when_in_sequence,8,10,0.02768902026550872
when_in_sequence,8,15,0.027369438307455272
when_in_sequence,16,5,0.02745406540930737
when_in_sequence,16,10,0.027959539663104792
when_in_sequence,16,15,0.028357595649947512
when_in_sequence,32,5,0.02725907880818526
when_in_sequence,32,10,0.028546348534190153
when_in_sequence,32,15,0.027397630670862858
when_in_sequence,64,5,0.027493001417595118
when_in_sequence,64,10,0.027263077107913487
when_in_sequence,64,15,0.027756429620810034
when_in_sequence,128,5,0.029016263835433938
when_in_sequence,128,10,0.028674480983381125
when_in_sequence,128,15,0.029053216491894022
when_in_sequence,256,5,0.03464555816078978
when_in_sequence,256,10,0.03555123148605835
when_in_sequence,256,15,0.03739551468781845
when_in_sequence,512,5,0.050024833279984186
when_in_sequence,512,10,0.05421716317208266
when_in_sequence,512,15,0.05781157231440351
